Driver,Level,System,Interruptions,AvgSpeed,LapTime,ThrottleVar,Jerk,LaneVar,MinTTC,Collision,Offroad
AGGRESSIVE,0,FIXED,0.0,2.238083609323398,2.1,0.0,0.22721558708960723,4.644100105974792,10.0,0,1
AGGRESSIVE,0,FIXED,0.0,2.920328742941461,2.1,0.0,0.04038098480845961,6.236139741837659,29.704511931857233,0,1
AGGRESSIVE,0,FIXED,0.0,3.1411248224846613,2.1,0.0,0.07524584507093302,7.956601012205577,26.38010575522138,0,1
AGGRESSIVE,0,FIXED,0.0,3.094101485955986,4.2,0.0,0.06960971891784316,7.674962755169939,26.5251891153599,0,1
AGGRESSIVE,0,FIXED,0.0,2.932179030157417,2.1,0.0,0.04507655250791369,5.700454963213262,29.821365836754673,0,1
AGGRESSIVE,0,FIXED,0.0,3.0566755240333325,2.1,0.0,0.06621052122839668,7.61297700716045,27.857415796551916,0,1
AGGRESSIVE,0,FIXED,0.0,3.0413574060323874,2.1,0.0,0.07357513925932864,7.65108877598622,27.616200457335765,0,1
AGGRESSIVE,0,FIXED,0.0,2.94569795031981,2.1,0.0,0.06682629032210594,7.4086978745399525,26.398965676427935,0,1
AGGRESSIVE,0,FIXED,0.0,2.9171729041356023,2.1,0.0,0.05872611007767675,7.000883481203696,28.679182339552817,0,1
AGGRESSIVE,0,FIXED,0.0,2.87929777430564,2.8000000000000003,0.0,0.08454235777336701,7.1419485148631185,28.931109019132542,0,1
AGGRESSIVE,0,FIXED,0.0,2.9388080684154483,2.1,0.0,0.051395894737640314,7.31052713286536,29.135072898948167,0,1
AGGRESSIVE,0,FIXED,0.0,2.932673883064663,2.1,0.0,0.04563075621363092,7.1797875448846735,19.775481161839043,0,1
AGGRESSIVE,0,FIXED,0.0,2.914829915988754,2.2,0.0,0.04748669519518339,7.845620788171441,29.693269605788974,0,1
AGGRESSIVE,0,FIXED,0.0,2.962201546742557,2.7,0.0,0.04002598089410376,6.40636851394371,29.240672107084784,0,1
AGGRESSIVE,0,FIXED,0.0,2.837747693506487,2.1,0.0,0.039833452257818994,5.991895404576391,29.936839931292642,0,1
AGGRESSIVE,0,FIXED,0.0,2.8793885937489634,2.1,0.0,0.029945895155888587,6.9814040160530695,30.651121071008014,0,1
AGGRESSIVE,0,FIXED,0.0,2.3982438492912173,3.6,0.0,0.025340141067312465,4.316242467109399,31.993041680789233,0,1
AGGRESSIVE,0,FIXED,0.0,0.5401037871953569,16.0,0.0,0.010743939551278442,2.1623300018429847,10.0,0,1
AGGRESSIVE,0,FIXED,0.0,1.7538589836670755,5.0,0.0,0.010330587337068388,2.7644810879329618,39.75000584352247,0,1
AGGRESSIVE,0,FIXED,0.0,2.0794314309755912,2.4000000000000004,0.0,0.0035852048694169918,0.7210368820248023,38.83903498458384,0,1
AGGRESSIVE,0,FIXED,0.0,0.8728723924147042,9.0,0.0,0.013775244539327602,1.8699827331715524,10.0,0,1
AGGRESSIVE,0,FIXED,0.0,1.944968508646641,4.3,0.0,0.01176160989540409,2.262238471754713,43.29203044343914,0,1
AGGRESSIVE,0,FIXED,0.0,2.2206978406413027,4.1000000000000005,0.0,0.005014973260108864,5.664107521126179,42.77108594022301,0,1
AGGRESSIVE,0,FIXED,0.0,2.3771794419183725,3.3000000000000003,0.0,0.006589065424039871,2.3260854411616148,38.58670059579584,0,1
